"SLFCHG01","SLFCHG02","SLFCHG03","SLFCHG04","SLFCHG09","CSSRAT01","CSSRAT07","SUCCESS4","SUCCESS7","SATIS13","SATIS01","SATIS02","SATIS07","SATIS15","SATIS25","SATIS28","CSSRAT16","GENACT05","COLACT19","COLACT17","FATHEDUC","MOTHEDUC","RACEGROUP","UndrRepStud_RC","FINCON_RC","FirstGen_RC","INCOME","HSGPA","CITIZEN","PLANLIVE","DSstud_RC","SIFRAT01","SIFRAT07","SIFMAJA","CSSHPW01","CSSHPW02","CSSHPW03","CSSHPW05","CSSHPW08","COLLGPA","Success_Latent","HistDisadv_fs","InstitEngage_fs"
5,5,5,5,5,3,3,2,3,3,4,3,4,5,4,3,4,2,1,2,6,2,3,1,1,1,3,4,2,3,1,3,4,8,4,6,5,5,3,4,0.0750328960275498,0.713011932485375,0.0802030985713966
5,5,5,5,4,4,4,2,2,3,4,4,3,4,3,3,4,2,1,1,8,8,2,0,1,0,12,7,1,3,1,4,2,8,6,7,3,1,2,4,-0.168343681945206,-0.270170745264003,-0.387912557911301
5,5,5,4,4,4,4,3,3,4,4,4,5,4,4,4,4,2,1,1,8,8,2,0,0,0,12,4,1,1,1,3,4,14,4,6,4,2,2,4,0.145675190540327,-0.352805705438926,0.315389177816805
4,4,5,5,4,5,3,3,2,4,4,4,4,2,4,4,3,1,1,2,8,3,1,0,1,0,8,7,2,3,1,5,3,15,4,6,5,4,2,5,-0.140488137621743,0.116090201230501,-0.145991964820924
4,4,5,4,4,4,4,3,2,3,3,2,4,4,4,4,3,2,1,1,8,6,2,0,1,0,8,7,2,3,1,5,4,9,5,7,3,1,1,5,-0.140488137621743,0.116090201230501,-0.164482457386991
4,4,4,4,4,3,4,2,2,2,3,3,4,4,4,4,4,2,1,2,1,1,3,1,1,1,3,7,2,3,1,3,5,6,6,5,4,4,2,4,-0.297088611476105,0.713011932485375,-0.265675973086894
5,5,5,5,5,5,5,3,3,5,4,1,5,4,4,5,4,2,1,2,1,1,3,1,1,1,8,8,2,3,1,5,5,8,8,7,5,3,3,5,0.637666740782074,0.273687862489331,0.416582693516708
4,4,4,4,4,3,3,2,3,3,3,3,3,3,3,3,3,2,1,1,3,8,3,1,1,0,5,5,1,3,1,3,4,13,3,4,3,1,1,4,-0.452292440038533,0.526237563457085,-0.632598113869689
4,5,5,5,5,3,5,2,3,4,5,3,3,4,5,5,4,2,1,1,2,1,3,1,1,1,4,8,2,3,1,3,4,3,4,5,6,3,1,3,0.436069280573343,0.624878688453045,0.0805650678010018
4,3,4,3,5,5,5,3,3,5,3,2,3,2,5,4,2,3,1,2,2,2,3,1,1,1,5,7,2,3,1,4,4,13,6,5,6,1,6,5,-0.201110937816515,0.540853588521075,-0.30761252841587
5,4,5,4,4,3,3,3,2,3,4,5,4,4,5,4,2,2,1,1,6,6,1,0,1,1,9,3,2,3,1,2,3,5,4,5,3,1,1,3,-0.140488137621743,0.109350976717088,0.0869376124163658
4,4,5,4,4,5,2,2,3,5,4,4,4,4,4,5,2,2,1,1,3,8,1,0,1,0,11,8,2,3,1,5,3,5,6,6,5,2,1,3,-0.116465254366549,-0.220976828316849,0.173460603607128
4,4,5,4,2,3,3,2,3,2,2,4,3,3,1,4,1,3,1,1,6,2,5,1,2,1,7,8,2,1,1,4,3,4,4,7,8,1,4,5,-0.728619040292891,0.455952139878895,-1.10107573958199
3,3,5,3,4,5,4,3,3,4,2,3,4,3,4,4,4,2,1,2,8,8,3,1,1,0,13,5,2,1,1,3,3,6,5,7,4,3,4,5,-0.442314392425743,-0.449199229444405,-0.307974497645475
5,5,5,5,5,4,5,3,3,4,4,4,4,4,5,4,5,3,1,1,1,3,3,1,0,1,2,6,1,2,1,3,5,16,4,6,3,1,1,6,0.41816368219865,0.811495916001901,0.188131128116269
5,4,5,5,4,5,4,3,2,5,5,1,5,4,5,5,3,2,1,1,2,6,5,1,1,1,8,7,2,1,1,4,5,13,5,6,3,1,1,4,0.0437666564572614,0.273687862489331,0.668002763320065
5,5,4,5,4,3,5,3,2,3,3,2,4,5,3,4,5,3,1,1,2,6,4,1,1,1,2,6,2,3,1,5,5,13,4,4,4,4,1,4,0.145675190540327,0.817639045847212,-0.17121697123196
4,4,4,4,5,4,3,2,3,4,4,4,4,4,4,4,3,2,1,2,6,3,2,0,2,1,10,8,2,3,1,3,3,3,6,7,6,2,3,5,-0.041180761757672,0.0816160839865638,0.0722670879072252
5,4,5,4,4,5,4,2,3,3,2,4,4,2,3,3,4,2,1,2,6,8,1,0,0,0,8,7,2,3,1,4,1,7,4,6,8,3,3,3,-0.452292440038533,0.0365191211467845,-0.634161579918496
5,4,4,4,3,4,4,2,3,3,4,3,5,3,5,4,5,3,2,1,5,6,5,1,2,1,7,6,2,3,1,5,4,12,5,5,5,5,4,4,-0.538935226006102,0.455952139878895,0.220930175961871
5,4,5,5,5,4,5,2,3,3,4,4,4,4,3,4,5,3,1,1,6,2,3,1,1,1,7,8,2,3,1,5,5,10,5,6,5,4,5,3,-0.041180761757672,0.375018863561732,-0.144790468001721
5,4,5,4,4,3,3,2,2,5,2,2,5,2,4,5,3,3,1,2,3,3,4,1,1,1,3,7,1,3,1,5,5,3,4,5,8,5,7,5,-0.116465254366549,0.790797136935368,-0.0727884184000668
5,5,5,5,3,3,4,2,3,3,4,4,2,2,3,4,5,3,1,1,5,5,5,1,0,1,11,7,2,3,1,3,4,2,6,6,8,6,4,2,-0.255355007575103,-0.142574883985761,-0.84929370054903
5,4,5,4,4,3,3,3,2,3,3,3,4,2,3,5,3,2,1,1,4,2,1,0,1,1,13,6,2,3,1,4,4,7,4,5,6,4,1,4,0.0437666564572614,-0.443241260909589,-0.498605550324183
5,4,5,4,4,4,4,3,3,3,3,4,2,2,2,5,4,3,1,2,6,5,2,0,1,1,3,7,1,1,1,3,3,13,1,1,8,8,7,6,0.0437666564572614,0.723537328125306,-1.10071377035239
