"SLFCHG01","SLFCHG02","SLFCHG03","SLFCHG04","CSSRAT01","CSSRAT07","SUCCESS4","SATIS13","SATIS01","SATIS02","SATIS07","SATIS15","SATIS25","CSSRAT16","GENACT05","COLACT19","COLACT17","FATHEDUC","MOTHEDUC","RACEGROUP","UndrRepStud_RC","FINCON_RC","FirstGen_RC","INCOME","HSGPA","CITIZEN","PLANLIVE","DSstud_RC","SIFRAT01","SIFRAT07","SIFMAJA","CSSHPW01","CSSHPW02","CSSHPW03","CSSHPW05","CSSHPW08","HistDisadv"
4,4,4,4,3,3,2,3,3,3,3,3,3,3,2,1,1,3,8,3,1,1,0,5,5,1,3,1,3,4,13,3,4,3,1,1,0.513111228419877
4,5,5,5,3,5,2,4,5,3,3,4,5,4,2,1,1,2,1,3,1,1,1,4,8,2,3,1,3,4,3,4,5,6,3,1,0.601178891079114
4,3,4,3,5,5,3,5,3,2,3,2,5,2,3,1,2,2,2,3,1,1,1,5,7,2,3,1,4,4,13,6,5,6,1,6,0.520963116398442
5,4,5,4,3,3,3,3,4,5,4,4,5,2,2,1,1,6,6,1,0,1,1,9,3,2,3,1,2,3,5,4,5,3,1,1,0.105595258883431
4,4,5,4,5,2,2,5,4,4,4,4,4,2,2,1,1,3,8,1,0,1,0,11,8,2,3,1,5,3,5,6,6,5,2,1,-0.211053130853549
4,4,5,4,3,3,2,2,2,4,3,3,1,1,3,1,1,6,2,5,1,2,1,7,8,2,1,1,4,3,4,4,7,8,1,4,0.441887207489413
3,3,5,3,5,4,3,4,2,3,4,3,4,4,2,1,2,8,8,3,1,1,0,13,5,2,1,1,3,3,6,5,7,4,3,4,-0.435976245589304
5,5,5,5,4,5,3,4,4,4,4,4,5,5,3,1,1,1,3,3,1,0,1,2,6,1,2,1,3,5,10,4,6,3,1,1,0.780660602367294
5,4,5,5,5,4,3,5,5,1,5,4,5,3,2,1,1,2,6,5,1,1,1,8,7,2,1,1,4,5,13,5,6,3,1,1,0.265557685454061
5,5,4,5,3,5,3,3,3,2,4,5,3,5,3,1,1,2,6,4,1,1,1,2,6,2,3,1,5,5,13,4,4,4,4,1,0.786453876806216
